City,District,OID,ReportYear,ReportDate,Address,ReportNumber,PropertyStatus,PropValue,Serial,Disposition,CallNumber,x,y
BOULDER,East Boulder,2596,2018,2018-04-30,9XX 30TH,1805240,STOLEN,549.99,Yes,RB-Report,BPD180430-031671,-105.253422263475,40.0046254202044
BOULDER,University Hill,2597,2018,2018-04-30,VALID ADDRESS UNAVAILABLE,1870766,STOLEN,250.0,No,Online Report - No Call Disposition,Online Report - No Call Number,,
BOULDER,South Boulder,2598,2018,2018-04-30,14XX CHAMBERS DR,1805268,STOLEN,2683.56,Yes,RB-Report,BPD180430-031881,-105.239103806415,39.9739825653637
BOULDER,South Boulder,2599,2018,2018-04-30,14XX CHAMBERS DR,1805268,STOLEN,2600.0,No,RB-Report,BPD180430-031881,-105.239103806415,39.9739825653637
BOULDER,Central Boulder,2600,2018,2018-05-01,VALID ADDRESS UNAVAILABLE,1870939,STOLEN,7000.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,,
BOULDER,CU Campus,2601,2018,2018-05-01,22XX PEARL,1870770,STOLEN,425.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.266711186492,40.0207660009477
BOULDER,South Boulder,2602,2018,2018-05-01,6XX BROADWAY,1805294,STOLEN,3000.0,Yes,RB-Report,BPD180501-032048,-105.248486573173,39.9830832377853
BOULDER,South Boulder,2603,2018,2018-05-02,15XX BRADLEY,1870779,STOLEN,500.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.238390377849,39.9717162706218
BOULDER,North Boulder,2604,2018,2018-05-02,7XX CONCORD,1870777,STOLEN,800.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.286432648743,40.0224972811019
BOULDER,Central Boulder,2605,2018,2018-05-03,VALID ADDRESS UNAVAILABLE,1870781,STOLEN,1500.0,No,Online Report - No Call Disposition,Online Report - No Call Number,,
BOULDER,South Boulder,2606,2018,2018-05-03,6XX WALDEN,1870785,STOLEN,150.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.235444329076,39.9839410447518
BOULDER,Valmont,2607,2018,2018-05-04,19XX 30TH,1870791,STOLEN,959.99,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.254089050362,40.0210771230165
BOULDER,Central Boulder,2608,2018,2018-05-05,11XX WALNUT,1805484,STOLEN,2450.0,Yes,RB-Report,BPD180505-033113,-105.280463127769,40.0170372134225
BOULDER,East Boulder,2609,2018,2018-05-05,9XX 30TH,1870799,STOLEN,500.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.253420951432,40.004988126155
BOULDER,South Boulder,2610,2018,2018-05-05,6XX BROADWAY,1870800,STOLEN,5150.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.249741888768,39.9840587807409
BOULDER,South Boulder,2611,2018,2018-05-05,6XX BROADWAY,1870800,STOLEN,4346.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.249741888768,39.9840587807409
BOULDER,East Boulder,2612,2018,2018-05-06,3XX ERIE,1805504,STOLEN,1550.0,Yes,RB-Report,BPD180506-033240,-105.245646360343,39.9955727098876
BOULDER,Central Boulder,2613,2018,2018-05-06,VALID ADDRESS UNAVAILABLE,1870803,STOLEN,1500.0,No,Online Report - No Call Disposition,Online Report - No Call Number,,
BOULDER,East Boulder,2614,2018,2018-05-06,31XX MADISON,1870804,STOLEN,200.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.25171361969,40.0061247788804
BOULDER,Central Boulder,2615,2018,2018-05-07,9XX CANYON,1805537,STOLEN,500.0,Yes,AB-Arrest,BPD180507-033437,-105.282587898461,40.0155128547791
BOULDER,Central Boulder,2616,2018,2018-05-07,9XX CANYON,1805537,STOLEN,350.0,Yes,AB-Arrest,BPD180507-033437,-105.282587898461,40.0155128547791
BOULDER,Valmont,2617,2018,2018-05-07,17XX 29TH,1870808,STOLEN,800.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.255008911631,40.0170422286292
BOULDER,University Hill,2618,2018,2018-05-07,22XX GOSS CIR,1870809,STOLEN,3000.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.265966644208,40.0161886405168
BOULDER,Central Boulder,2619,2018,2018-05-07,21XX 13TH,1870826,STOLEN,650.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.279408408728,40.0194193990248
BOULDER,Central Boulder,2620,2018,2018-05-07,9XX PEARL,1870817,STOLEN,1480.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.28291530913,40.0176567435111
BOULDER,North Boulder,2621,2018,2018-05-08,33XX FOLSOM,1870820,STOLEN,1500.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.262673603608,40.0359808455979
BOULDER,North Boulder,2622,2018,2018-05-08,27XX JUNIPER,1870828,STOLEN,3000.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.261759555684,40.0371064243807
BOULDER,North Boulder,2623,2018,2018-05-08,9XX LARAMIE BLVD,1870830,STOLEN,580.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.28463081397,40.0659591830805
BOULDER,South Boulder,2624,2018,2018-05-09,5XX 27TH,1870834,STOLEN,300.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.260517782609,39.9981665835812
BOULDER,North Boulder,2625,2018,2018-05-09,7XX POPLAR,1870838,STOLEN,400.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.287755669524,40.0469272178812
BOULDER,University Hill,2626,2018,2018-05-10,11XX LINCOLN,1870844,STOLEN,2000.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.280786452727,40.0083671406223
BOULDER,Central Boulder,2627,2018,2018-05-10,10XX WALNUT,1870847,STOLEN,1500.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.281310961668,40.01624306259
BOULDER,Central Boulder,2628,2018,2018-05-10,10XX WALNUT,1870847,STOLEN,1600.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.281310961668,40.01624306259
BOULDER,University Hill,2629,2018,2018-05-10,VALID ADDRESS UNAVAILABLE,1870849,STOLEN,700.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,,
BOULDER,East Boulder,2630,2018,2018-05-11,29XX AURORA,1805766,STOLEN,300.0,No,RB-Report,BPD180511-034941,-105.254445316279,40.0042868563224
BOULDER,East Boulder,2631,2018,2018-05-11,VALID ADDRESS UNAVAILABLE,1870882,STOLEN,600.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.235849001322,39.9979125738804
BOULDER,East Boulder,2632,2018,2018-05-11,VALID ADDRESS UNAVAILABLE,1870882,RECOVERED,400.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.235849001322,39.9979125738804
BOULDER,East Boulder,2633,2018,2018-05-12,XX SOUTH BOULDER,1870862,STOLEN,500.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.228943890243,39.9867229679165
BOULDER,Valmont,2634,2018,2018-05-12,17XX 29TH,1805832,STOLEN,5000.0,No,RB-Report,BPD180512-035221,-105.255008911631,40.0170422286292
BOULDER,Valmont,2635,2018,2018-05-12,17XX 29TH,1805832,RECOVERED,800.0,No,RB-Report,BPD180512-035221,-105.255008911631,40.0170422286292
BOULDER,Central Boulder,2636,2018,2018-05-12,10XX ARAPAHOE,1870867,STOLEN,800.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.281741760842,40.0139455569322
BOULDER,East Boulder,2637,2018,2018-05-14,5XX THUNDERBIRD CT E,1805899,STOLEN,6500.0,Yes,RB-Report,BPD180514-035635,-105.232123532461,39.9955502039396
BOULDER,East Boulder,2638,2018,2018-05-14,5XX THUNDERBIRD CT E,1805899,RECOVERED,1.0,Yes,RB-Report,BPD180514-035635,-105.232123532461,39.9955502039396
BOULDER,South Boulder,2639,2018,2018-05-15,49XX MOORHEAD,1870890,STOLEN,400.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.237142446315,39.9870496884484
BOULDER,South Boulder,2640,2018,2018-05-15,8XX MOORHEAD,1870891,STOLEN,400.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.23793674981,39.9813445662802
BOULDER,East Boulder,2641,2018,2018-05-15,9XX QUINN,1870896,STOLEN,400.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.250570159164,40.0043519730408
BOULDER,East Boulder,2642,2018,2018-05-15,48XX MCKINLEY,1870897,STOLEN,500.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.233719592185,40.0115983288703
BOULDER,North Boulder,2643,2018,2018-05-16,11XX BALSAM,1870901,STOLEN,3000.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.283854600899,40.0261675994223
BOULDER,CU Campus,2644,2018,2018-05-16,23XX ARAPAHOE,1870903,STOLEN,400.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.264522435747,40.0144574966501
BOULDER,North Boulder,2645,2018,2018-05-16,32XX 28TH,1805996,STOLEN,400.0,Yes,RB-Report,BPD180516-036174,-105.259045584688,40.0339352456198
BOULDER,Central Boulder,2646,2018,2018-05-16,10XX ARAPAHOE,1870904,STOLEN,1200.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.281741760842,40.0139455569322
BOULDER,North Boulder,2647,2018,2018-05-16,9XX CHINLE AVE,1870905,STOLEN,600.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.284959085955,40.0654486641729
BOULDER,Central Boulder,2648,2018,2018-05-17,10XX WALNUT,1870909,STOLEN,1250.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.281310961668,40.01624306259
BOULDER,North Boulder,2649,2018,2018-05-17,13XX HIGH,1806046,STOLEN,400.0,Yes,RB-Report,BPD180517-036486,-105.279776972228,40.0228968435788
BOULDER,North Boulder,2650,2018,2018-05-17,11XX MAXWELL,1870912,STOLEN,600.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.282754926663,40.0218891129254
BOULDER,North Boulder,2651,2018,2018-05-18,14XX BALSAM,1870913,STOLEN,2800.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.277446734343,40.0264330209347
BOULDER,Valmont,2652,2018,2018-05-18,49XX TWIN LAKES RD,1870914,STOLEN,500.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.196575805351,40.0652625499631
BOULDER,North Boulder,2653,2018,2018-05-18,7XX MAPLETON,1870917,STOLEN,700.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.28670990087,40.020902153338
BOULDER,Central Boulder,2654,2018,2018-05-19,19XX BROADWAY,1870922,STOLEN,1200.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.279902666891,40.0170895783759
BOULDER,North Boulder,2655,2018,2018-05-19,VALID ADDRESS UNAVAILABLE,1870925,STOLEN,400.0,No,Online Report - No Call Disposition,Online Report - No Call Number,,
BOULDER,University Hill,2656,2018,2018-05-19,16XX GROVE,1806150,STOLEN,300.0,No,RB-Report,BPD180519-037078,-105.273492911535,40.0156806501157
BOULDER,Central Boulder,2657,2018,2018-05-20,VALID ADDRESS UNAVAILABLE,1806185,STOLEN,500.0,No,RB-Report,BPD180520-037337,-105.280320791581,40.0188905621609
